continent,location,date,population
Asia,Afghanistan,01/03/2021,38928341
Asia,Afghanistan,01/04/2021,38928341
Asia,Afghanistan,01/05/2021,38928341
Asia,Afghanistan,01/06/2021,38928341
Asia,Afghanistan,01/07/2021,38928341
Asia,Afghanistan,01/08/2021,38928341
Asia,Afghanistan,01/09/2021,38928341
Asia,Afghanistan,01/10/2021,38928341
Asia,Afghanistan,01/11/2021,38928341
Asia,Afghanistan,01/12/2021,38928341
Asia,Afghanistan,01/13/2021,38928341
Asia,Afghanistan,01/14/2021,38928341
Asia,Afghanistan,01/15/2021,38928341
Asia,Afghanistan,01/16/2021,38928341
Asia,Afghanistan,01/17/2021,38928341
Asia,Afghanistan,01/18/2021,38928341
Asia,Afghanistan,01/19/2021,38928341
Asia,Afghanistan,01/20/2021,38928341
Asia,Afghanistan,01/21/2021,38928341
Asia,Afghanistan,01/22/2021,38928341
Asia,Afghanistan,01/23/2021,38928341
Asia,Afghanistan,01/24/2021,38928341
Asia,Afghanistan,01/25/2021,38928341
Asia,Afghanistan,01/26/2021,38928341
Asia,Afghanistan,01/27/2021,38928341
Asia,Afghanistan,01/28/2021,38928341
Asia,Afghanistan,01/29/2021,38928341
Asia,Afghanistan,01/30/2021,38928341
Asia,Afghanistan,01/31/2021,38928341
Asia,Afghanistan,02/01/2021,38928341
Asia,Afghanistan,02/02/2021,38928341
Asia,Afghanistan,02/03/2021,38928341
Asia,Afghanistan,02/04/2021,38928341
Asia,Afghanistan,02/05/2021,38928341
Asia,Afghanistan,02/06/2021,38928341
Asia,Afghanistan,02/07/2021,38928341
Asia,Afghanistan,02/08/2021,38928341
Asia,Afghanistan,02/09/2021,38928341
Asia,Afghanistan,02/10/2021,38928341
Asia,Afghanistan,02/11/2021,38928341
Asia,Afghanistan,02/12/2021,38928341
Asia,Afghanistan,02/13/2021,38928341
Asia,Afghanistan,02/14/2021,38928341
Asia,Afghanistan,02/15/2021,38928341
Asia,Afghanistan,02/16/2021,38928341
Asia,Afghanistan,02/17/2021,38928341
Asia,Afghanistan,02/18/2021,38928341
Asia,Afghanistan,02/19/2021,38928341
Asia,Afghanistan,02/20/2021,38928341
Asia,Afghanistan,02/21/2021,38928341
Asia,Afghanistan,02/22/2021,38928341
Asia,Afghanistan,02/23/2021,38928341
Asia,Afghanistan,02/24/2021,38928341
Asia,Afghanistan,02/25/2021,38928341
Asia,Afghanistan,02/26/2021,38928341
Asia,Afghanistan,02/27/2021,38928341
Asia,Afghanistan,02/28/2021,38928341
Asia,Afghanistan,03/01/2021,38928341
Asia,Afghanistan,03/02/2021,38928341
Asia,Afghanistan,03/03/2021,38928341
Asia,Afghanistan,03/04/2021,38928341
Asia,Afghanistan,03/05/2021,38928341
Asia,Afghanistan,03/06/2021,38928341
Asia,Afghanistan,03/07/2021,38928341
Asia,Afghanistan,03/08/2021,38928341
Asia,Afghanistan,03/09/2021,38928341
Asia,Afghanistan,03/10/2021,38928341
Asia,Afghanistan,03/11/2021,38928341
Asia,Afghanistan,03/12/2021,38928341
Asia,Afghanistan,03/13/2021,38928341
Asia,Afghanistan,03/14/2021,38928341
Asia,Afghanistan,03/15/2021,38928341
Asia,Afghanistan,03/16/2021,38928341
Asia,Afghanistan,03/17/2021,38928341
Asia,Afghanistan,03/18/2021,38928341
Asia,Afghanistan,03/19/2021,38928341
Asia,Afghanistan,03/20/2021,38928341
Asia,Afghanistan,03/21/2021,38928341
Asia,Afghanistan,03/22/2021,38928341
Asia,Afghanistan,03/23/2021,38928341
Asia,Afghanistan,03/24/2021,38928341
Asia,Afghanistan,03/25/2021,38928341
Asia,Afghanistan,03/26/2021,38928341
Asia,Afghanistan,03/27/2021,38928341
Asia,Afghanistan,03/28/2021,38928341
Asia,Afghanistan,03/29/2021,38928341
Asia,Afghanistan,03/30/2021,38928341
Asia,Afghanistan,03/31/2021,38928341
Asia,Afghanistan,04/01/2021,38928341
Asia,Afghanistan,04/02/2021,38928341
Asia,Afghanistan,04/03/2021,38928341
Asia,Afghanistan,04/04/2021,38928341
Asia,Afghanistan,04/05/2021,38928341
Asia,Afghanistan,04/06/2021,38928341
Asia,Afghanistan,04/07/2021,38928341
Asia,Afghanistan,04/08/2021,38928341
Asia,Afghanistan,04/09/2021,38928341
Asia,Afghanistan,04/10/2021,38928341
Asia,Afghanistan,04/11/2021,38928341
Asia,Afghanistan,04/12/2021,38928341
Asia,Afghanistan,04/13/2021,38928341
Asia,Afghanistan,04/14/2021,38928341
Asia,Afghanistan,04/15/2021,38928341
Asia,Afghanistan,04/16/2021,38928341
Asia,Afghanistan,04/17/2021,38928341
Asia,Afghanistan,04/18/2021,38928341
Asia,Afghanistan,04/19/2021,38928341
Asia,Afghanistan,04/20/2021,38928341
Asia,Afghanistan,04/21/2021,38928341
Asia,Afghanistan,04/22/2021,38928341
Asia,Afghanistan,04/23/2021,38928341
Asia,Afghanistan,04/24/2021,38928341
Asia,Afghanistan,04/25/2021,38928341
Asia,Afghanistan,04/26/2021,38928341
Asia,Afghanistan,04/27/2021,38928341
Asia,Afghanistan,04/28/2021,38928341
Asia,Afghanistan,04/29/2021,38928341
Asia,Afghanistan,04/30/2021,38928341
,Africa,02/13/2020,1340598113
,Africa,02/14/2020,1340598113
,Africa,02/15/2020,1340598113
,Africa,02/16/2020,1340598113
,Africa,02/17/2020,1340598113
,Africa,02/18/2020,1340598113
,Africa,02/19/2020,1340598113
,Africa,02/20/2020,1340598113
,Africa,02/21/2020,1340598113
,Africa,02/22/2020,1340598113
,Africa,02/23/2020,1340598113
,Africa,02/24/2020,1340598113
,Africa,02/25/2020,1340598113
,Africa,02/26/2020,1340598113
,Africa,02/27/2020,1340598113
,Africa,02/28/2020,1340598113
,Africa,02/29/2020,1340598113
,Africa,03/01/2020,1340598113
,Africa,03/02/2020,1340598113
,Africa,03/03/2020,1340598113
,Africa,03/04/2020,1340598113
,Africa,03/05/2020,1340598113
,Africa,03/06/2020,1340598113
,Africa,03/07/2020,1340598113
,Africa,03/08/2020,1340598113
,Africa,03/09/2020,1340598113
,Africa,03/10/2020,1340598113
,Africa,03/11/2020,1340598113
,Africa,03/12/2020,1340598113
,Africa,03/13/2020,1340598113
,Africa,03/14/2020,1340598113
,Africa,03/15/2020,1340598113
,Africa,03/16/2020,1340598113
,Africa,03/17/2020,1340598113
,Africa,03/18/2020,1340598113
,Africa,03/19/2020,1340598113
,Africa,03/20/2020,1340598113
,Africa,03/21/2020,1340598113
,Africa,03/22/2020,1340598113
,Africa,03/23/2020,1340598113
,Africa,03/24/2020,1340598113
,Africa,03/25/2020,1340598113
,Africa,03/26/2020,1340598113
,Africa,03/27/2020,1340598113
,Africa,03/28/2020,1340598113
,Africa,03/29/2020,1340598113
,Africa,03/30/2020,1340598113
,Africa,03/31/2020,1340598113
,Africa,04/01/2020,1340598113
,Africa,04/02/2020,1340598113
,Africa,04/03/2020,1340598113
,Africa,04/04/2020,1340598113
,Africa,04/05/2020,1340598113
,Africa,04/06/2020,1340598113
,Africa,04/07/2020,1340598113
,Africa,04/08/2020,1340598113
,Africa,04/09/2020,1340598113
,Africa,04/10/2020,1340598113
,Africa,04/11/2020,1340598113
,Africa,04/12/2020,1340598113
,Africa,04/13/2020,1340598113
,Africa,04/14/2020,1340598113
,Africa,04/15/2020,1340598113
,Africa,04/16/2020,1340598113
,Africa,04/17/2020,1340598113
,Africa,04/18/2020,1340598113
,Africa,04/19/2020,1340598113
,Africa,04/20/2020,1340598113
,Africa,04/21/2020,1340598113
,Africa,04/22/2020,1340598113
,Africa,04/23/2020,1340598113
,Africa,04/24/2020,1340598113
,Africa,04/25/2020,1340598113
,Africa,04/26/2020,1340598113
,Africa,04/27/2020,1340598113
,Africa,04/28/2020,1340598113
,Africa,04/29/2020,1340598113
,Africa,04/30/2020,1340598113
,Africa,05/01/2020,1340598113
,Africa,05/02/2020,1340598113
,Africa,05/03/2020,1340598113
,Africa,05/04/2020,1340598113
,Africa,05/05/2020,1340598113
,Africa,05/06/2020,1340598113
,Africa,05/07/2020,1340598113
,Africa,05/08/2020,1340598113
,Africa,05/09/2020,1340598113
,Africa,05/10/2020,1340598113
,Africa,05/11/2020,1340598113
,Africa,05/12/2020,1340598113
,Africa,05/13/2020,1340598113
,Africa,05/14/2020,1340598113
,Africa,05/15/2020,1340598113
,Africa,05/16/2020,1340598113
,Africa,05/17/2020,1340598113
,Africa,05/18/2020,1340598113
,Africa,05/19/2020,1340598113
,Africa,05/20/2020,1340598113
,Africa,05/21/2020,1340598113
,Africa,05/22/2020,1340598113
,Africa,05/23/2020,1340598113
,Africa,05/24/2020,1340598113
,Africa,05/25/2020,1340598113
,Africa,05/26/2020,1340598113
,Africa,05/27/2020,1340598113
,Africa,05/28/2020,1340598113
,Africa,05/29/2020,1340598113
,Africa,05/30/2020,1340598113
,Africa,05/31/2020,1340598113
,Africa,06/01/2020,1340598113
,Africa,06/02/2020,1340598113
,Africa,06/03/2020,1340598113
,Africa,06/04/2020,1340598113
,Africa,06/05/2020,1340598113
,Africa,06/06/2020,1340598113
,Africa,06/07/2020,1340598113
,Africa,06/08/2020,1340598113
,Africa,06/09/2020,1340598113
,Africa,06/10/2020,1340598113
,Africa,06/11/2020,1340598113
,Africa,06/12/2020,1340598113
,Africa,06/13/2020,1340598113
,Africa,06/14/2020,1340598113
,Africa,06/15/2020,1340598113
,Africa,06/16/2020,1340598113
,Africa,06/17/2020,1340598113
,Africa,06/18/2020,1340598113
,Africa,06/19/2020,1340598113
,Africa,06/20/2020,1340598113
,Africa,06/21/2020,1340598113
,Africa,06/22/2020,1340598113
,Africa,06/23/2020,1340598113
,Africa,06/24/2020,1340598113
,Africa,06/25/2020,1340598113
,Africa,06/26/2020,1340598113
,Africa,06/27/2020,1340598113
,Africa,06/28/2020,1340598113
,Africa,06/29/2020,1340598113
,Africa,06/30/2020,1340598113
,Africa,07/01/2020,1340598113
,Africa,07/02/2020,1340598113
,Africa,07/03/2020,1340598113
,Africa,07/04/2020,1340598113
,Africa,07/05/2020,1340598113
,Africa,07/06/2020,1340598113
,Africa,07/07/2020,1340598113
,Africa,07/08/2020,1340598113
,Africa,07/09/2020,1340598113
,Africa,07/10/2020,1340598113
,Africa,07/11/2020,1340598113
,Africa,07/12/2020,1340598113
,Africa,07/13/2020,1340598113
,Africa,07/14/2020,1340598113
,Africa,07/15/2020,1340598113
,Africa,07/16/2020,1340598113
,Africa,07/17/2020,1340598113
,Africa,07/18/2020,1340598113
,Africa,07/19/2020,1340598113
,Africa,07/20/2020,1340598113
,Africa,07/21/2020,1340598113
,Africa,07/22/2020,1340598113
,Africa,07/23/2020,1340598113
,Africa,07/24/2020,1340598113
,Africa,07/25/2020,1340598113
,Africa,07/26/2020,1340598113
,Africa,07/27/2020,1340598113
,Africa,07/28/2020,1340598113
,Africa,07/29/2020,1340598113
,Africa,07/30/2020,1340598113
,Africa,07/31/2020,1340598113
,Africa,08/01/2020,1340598113
,Africa,08/02/2020,1340598113
,Africa,08/03/2020,1340598113
,Africa,08/04/2020,1340598113
,Africa,08/05/2020,1340598113
,Africa,08/06/2020,1340598113
,Africa,08/07/2020,1340598113
,Africa,08/08/2020,1340598113
,Africa,08/09/2020,1340598113
,Africa,08/10/2020,1340598113
,Africa,08/11/2020,1340598113
,Africa,08/12/2020,1340598113
,Africa,08/13/2020,1340598113
,Africa,08/14/2020,1340598113
,Africa,08/15/2020,1340598113
,Africa,08/16/2020,1340598113
,Africa,08/17/2020,1340598113
,Africa,08/18/2020,1340598113
,Africa,08/19/2020,1340598113
,Africa,08/20/2020,1340598113
,Africa,08/21/2020,1340598113
,Africa,08/22/2020,1340598113
,Africa,08/23/2020,1340598113
,Africa,08/24/2020,1340598113
,Africa,08/25/2020,1340598113
,Africa,08/26/2020,1340598113
,Africa,08/27/2020,1340598113
,Africa,08/28/2020,1340598113
,Africa,08/29/2020,1340598113
,Africa,08/30/2020,1340598113
,Africa,08/31/2020,1340598113
,Africa,09/01/2020,1340598113
,Africa,09/02/2020,1340598113
,Africa,09/03/2020,1340598113
,Africa,09/04/2020,1340598113
,Africa,09/05/2020,1340598113
,Africa,09/06/2020,1340598113
,Africa,09/07/2020,1340598113
,Africa,09/08/2020,1340598113
,Africa,09/09/2020,1340598113
,Africa,09/10/2020,1340598113
,Africa,09/11/2020,1340598113
,Africa,09/12/2020,1340598113
,Africa,09/13/2020,1340598113
,Africa,09/14/2020,1340598113
,Africa,09/15/2020,1340598113
,Africa,09/16/2020,1340598113
,Africa,09/17/2020,1340598113
,Africa,09/18/2020,1340598113
,Africa,09/19/2020,1340598113
,Africa,09/20/2020,1340598113
,Africa,09/21/2020,1340598113
,Africa,09/22/2020,1340598113
,Africa,09/23/2020,1340598113
,Africa,09/24/2020,1340598113
,Africa,09/25/2020,1340598113
,Africa,09/26/2020,1340598113
,Africa,09/27/2020,1340598113
,Africa,09/28/2020,1340598113
,Africa,09/29/2020,1340598113
,Africa,09/30/2020,1340598113
,Africa,10/01/2020,1340598113
,Africa,10/02/2020,1340598113
,Africa,10/03/2020,1340598113
,Africa,10/04/2020,1340598113
,Africa,10/05/2020,1340598113
,Africa,10/06/2020,1340598113
,Africa,10/07/2020,1340598113
,Africa,10/08/2020,1340598113
,Africa,10/09/2020,1340598113
,Africa,10/10/2020,1340598113
,Africa,10/11/2020,1340598113
,Africa,10/12/2020,1340598113
,Africa,10/13/2020,1340598113
,Africa,10/14/2020,1340598113
,Africa,10/15/2020,1340598113
,Africa,10/16/2020,1340598113
,Africa,10/17/2020,1340598113
,Africa,10/18/2020,1340598113
,Africa,10/19/2020,1340598113
,Africa,10/20/2020,1340598113
,Africa,10/21/2020,1340598113
,Africa,10/22/2020,1340598113
,Africa,10/23/2020,1340598113
,Africa,10/24/2020,1340598113
,Africa,10/25/2020,1340598113
,Africa,10/26/2020,1340598113
,Africa,10/27/2020,1340598113
,Africa,10/28/2020,1340598113
,Africa,10/29/2020,1340598113
,Africa,10/30/2020,1340598113
,Africa,10/31/2020,1340598113
